ReactionFormula,RelativeFlux
C00002 + C00085 <=> C00008 + C00354 + C00080,8.30589928057554
C00092 <=> C00085,10.0
C00197 + C00002 <=> C00236 + C00008,-13.223597122302158
C00631 <=> C00197,-13.223597122302158
C00158 <=> C00417 + C00001,3.0589928057553952
C00417 + C00001 <=> C00311,3.0589928057553952
C00002 + C00001 <=> C00008 + C00080 + C00009,8.39
C00002 + C00001 + C00022 <=> C00020 + 2.00 C00080 + C00074 + C00009,6.941007194244605
C00020 + C00002 <=> 2.00 C00008,6.941007194244605
C00026 + C00010 + C00003 <=> C00011 + C00004 + C00091,3.0589928057553952
C00008 + 4.00 C00080 + C00009 <=> C00002 + C00001 + 3.00 C00080,19.377625899280567
C00199 <=> C00231,-1.6941007194244602
C00024 + C00001 + C00036 <=> C00158 + C00010 + C00080,3.0589928057553952
C00117 <=> C00199,-1.6941007194244602
2.00 C00080 + 0.50 C00007 + C00390 <=> C00001 + 2.00 C00080 + C00399,18.353956834532365
C00631 <=> C00001 + C00074,13.223597122302158
C00399 + C00042 <=> C00122 + C00390,3.0589928057553952
C00002 + C00010 + C00042 <=> C00008 + C00009 + C00091,-3.0589928057553952
C00661 + C05382 <=> C00279 + C00085,1.6941007194244602
C00117 + C00231 <=> C00661 + C05382,1.6941007194244602
C00279 + C00231 <=> C00085 + C00661,-3.3882014388489203
C00111 <=> C00661,8.30589928057554
C00354 <=> C00111 + C00661,8.30589928057554
C00122 + C00001 <=> C00149,3.0589928057553952
C00661 + C00003 + C00009 <=> C00236 + C00080 + C00004,13.223597122302158
C00031 + C00074 <=> C00092 + C00022,10.0
C00025 + C00001 + C00006 <=> C00026 + C00080 + C00005 + C00014,-5.082302158273381
C00311 + C00006 <=> C00026 + C00011 + C00005,3.0589928057553952
C00149 + C00003 <=> C00080 + C00004 + C00036,3.0589928057553952
4.00 C00080 + C00004 + C00399 <=> 3.00 C00080 + C00003 + C00390,15.29496402877697
C00010 + C00003 + C00022 <=> C00024 + C00011 + C00004,3.0589928057553952
C00279 + C00074 + C00001 <=> C04691 + C00009,5.082302158273381
C04691 <=> C00944 + C00009,5.082302158273381
C00944 <=> C02637 + C00001,5.082302158273381
C02637 + C00005 + C00080 <=> C00493 + C00006,-2.0233093525179875
C02637 + C00004 + C00080 <=> C00493 + C00003,7.10561151079137
C00493 + C00002 <=> C03175 + C00008,5.082302158273381
C00074 + C03175 <=> C01269 + C00009,5.082302158273381
C01269 <=> C00251 + C00009,5.082302158273381
C00251 <=> C00254,5.082302158273381
C00254 + C00003 <=> C00004 + C00080 + C00011 + C01197,5.082302158273381
C01197 + C00025 <=> C00082 + C00026,5.082302158273381
C00082 + C00004 + C00080 + C00007 <=> C00355 + C00003 + C00001,5.082302158273381
